Date,SPY,TLT,GLD,DBMF
2008-09-15,86.390221,57.320797,77.559998,19.502085
2008-09-16,87.836182,57.309158,76.790001,19.707442
2008-09-17,83.886826,57.595703,85.459999,19.399402
2008-09-18,86.375877,56.753593,82.800003,19.443408
2008-09-19,89.806152,54.952484,85.980003,19.245378
2008-09-22,87.773026,54.946545,89.18,18.849321
2008-09-23,85.776039,54.736076,88.32,18.944667
2008-09-24,86.050964,54.975826,86.709999,19.010681
2008-09-25,87.39679,54.8647,86.449997,19.054687
2008-09-26,87.440231,55.26239,86.639999,19.106024
2008-09-29,80.588264,56.870541,89.57,19.450741
2008-09-30,83.923752,55.484592,85.07,19.692776
2008-10-01,83.974442,56.182674,85.970001,19.773451
2008-10-02,80.928314,56.634274,82.330002,20.140171
2008-10-03,79.835739,57.132847,82.589996,20.140171
2008-10-06,75.769463,58.171116,84.279999,20.800266
2008-10-07,72.376007,57.995174,87.269997,20.646244
2008-10-08,70.552689,57.162197,89.419998,20.609572
2008-10-09,65.625374,56.681217,89.900002,20.558231
2008-10-10,64.033577,56.282345,83.220001,21.115642
2008-10-13,73.331116,55.560852,81.989998,20.836939
2008-10-14,72.245789,55.203045,82.199997,20.70492
2008-10-15,65.133377,55.730965,83.309998,21.144983
2008-10-16,67.846619,55.443501,79.290001,21.22566
2008-10-17,67.441437,55.062298,77.209999,21.078971
2008-10-20,71.493317,55.502144,78.5,21.086306
2008-10-21,69.358856,55.795448,76.029999,21.39435
2008-10-22,65.581947,56.927624,71.709999,21.966432
2008-10-23,66.341675,57.34993,70.650002,22.069108
2008-10-24,62.9772,56.739864,72.209999,22.406488
2008-10-27,60.741432,56.780937,72.18,22.33315
2008-10-28,67.839409,55.953827,73.790001,22.017771
2008-10-29,67.347397,55.672333,74.0,21.482363
2008-10-30,69.677231,55.167866,72.709999,21.56304
2008-10-31,70.060677,54.452217,71.339996,21.702396
2008-11-03,70.263268,54.599445,71.099998,21.73173
2008-11-04,72.650963,55.624153,75.480003,21.409018
2008-11-05,69.597603,56.283791,72.800003,21.7464
2008-11-06,65.741142,55.877403,72.220001,22.105784
2008-11-07,67.911751,55.512314,72.5,22.069108
2008-11-10,67.021774,55.783203,73.580002,21.922426
2008-11-11,64.952446,55.948128,72.050003,22.179124
2008-11-12,62.094456,56.307293,70.0,22.479835
2008-11-13,65.965431,54.958633,72.150002,22.296475
2008-11-14,62.673325,56.04821,73.300003,22.135122
2008-11-17,61.841232,56.295555,72.650002,22.230467
2008-11-18,63.006123,57.019917,72.510002,22.259806
2008-11-19,58.968765,58.48048,72.260002,22.325811
2008-11-20,54.591309,61.501675,73.449997,22.523839
2008-11-21,57.536152,60.612362,78.849998,22.457832
2008-11-24,61.522865,59.664173,80.910004,21.937089
2008-11-25,61.978729,61.419254,80.870003,21.846471
2008-11-26,64.373642,61.501675,80.379997,21.801537
2008-11-28,65.183998,62.261391,80.309998,21.838982
2008-12-01,59.410133,64.645706,75.650002,22.235917
2008-12-02,61.696529,64.893921,76.949997,22.243409
2008-12-03,63.179798,65.07708,76.18,22.318303
2008-12-04,61.718277,66.359398,75.5,22.542984
2008-12-05,63.621162,65.283875,74.519997,22.80511
2008-12-08,65.84243,65.142059,76.199997,22.310814
2008-12-09,64.757118,66.430275,76.330002,22.513025
2008-12-10,65.198471,66.270714,79.75,22.198473
2008-12-11,63.628387,66.400734,80.650002,22.018727
2008-12-12,64.3881,66.400734,80.809998,22.041195
2008-12-15,63.490917,67.157082,82.599998,21.906385
2008-12-16,66.479149,68.817535,84.459999,21.689195
2008-12-17,65.835197,70.684822,85.43,21.629279
2008-12-18,64.605202,72.168022,83.870003,21.771578
2008-12-19,64.327248,72.244827,82.629997,21.951322
2008-12-22,63.502998,71.689407,83.459999,21.85396
2008-12-23,62.846542,71.594795,82.629997,21.831494
2008-12-24,63.211235,71.441193,83.459999,21.756598
2008-12-26,63.575954,71.677589,85.599998,21.569367
2008-12-29,63.3936,71.591599,86.349998,21.689195
2008-12-30,64.89621,72.273422,85.900002,21.642017
2008-12-31,65.822556,70.761497,86.519997,21.307186
2009-01-02,67.806587,68.982872,86.230003,21.139773
2009-01-05,67.726349,67.20417,84.480003,21.154993
2009-01-06,68.178589,66.528305,85.129997,20.782116
2009-01-07,66.1362,66.789177,82.75,21.071285
2009-01-08,66.406105,66.735809,84.459999,21.231086
2009-01-09,64.983727,66.836617,83.919998,21.048456
2009-01-12,63.422756,67.530228,80.760002,21.444164
2009-01-13,63.539471,67.60144,80.879997,21.421331
2009-01-14,61.54089,68.716049,79.790001,21.459383
2009-01-15,61.562756,68.828682,80.389999,21.383286
2009-01-16,62.044205,67.767403,82.709999,21.253921
2009-01-20,58.769104,67.75563,84.519997,21.390894
2009-01-21,61.307491,65.61525,84.150002,21.291966
2009-01-22,60.359249,64.352394,84.580002,21.383286
2009-01-23,60.621838,63.848438,88.529999,21.345236
2009-01-26,61.037575,63.291088,88.949997,21.231086
2009-01-27,61.657578,64.779312,88.379997,21.466992
2009-01-28,63.743732,63.160702,87.419998,21.291966
2009-01-29,61.672173,61.708099,89.5,21.337625
2009-01-30,60.41758,61.512455,91.309998,21.322408
2009-02-02,60.235222,62.656921,88.839996,21.428942
2009-02-03,61.081333,61.164623,88.470001,21.428942
2009-02-04,60.782299,60.950653,89.18,21.375675
2009-02-05,61.686787,61.004131,90.120003,21.22348
2009-02-06,63.444664,60.813881,89.589996,21.04085
2009-02-09,63.532188,61.010075,88.32,20.987578
2009-02-10,60.621838,62.335899,90.209999,21.177823
2009-02-11,60.979244,63.14439,92.290001,21.28436
2009-02-12,61.02301,62.5499,93.169998,21.330016
2009-02-13,60.366516,60.885193,92.550003,21.307186
2009-02-17,57.784389,62.781742,95.449997,21.680063
2009-02-18,57.645802,62.246681,96.910004,21.695284
2009-02-19,57.02578,61.188393,95.769997,21.588744
2009-02-20,56.471424,61.782925,97.800003,21.672452
2009-02-23,54.450954,62.353729,97.730003,21.642017
2009-02-24,56.515221,62.288292,94.730003,21.390894
2009-02-25,56.070259,61.56897,93.150002,21.368062
2009-02-26,55.158512,60.92086,93.059998,21.291966
2009-02-27,53.925774,60.570114,92.629997,21.406112
2009-03-02,51.496834,61.572899,90.93,21.527868
2009-03-03,51.110229,61.161564,90.040001,21.436553
2009-03-04,52.32106,60.881313,88.989998,21.238699
2009-03-05,50.18388,62.574448,91.989998,21.352844
2009-03-06,50.271404,62.157139,92.290001,21.291966
2009-03-09,49.68058,61.793476,90.57,21.352844
2009-03-10,52.641998,60.607094,88.139999,21.215871
2009-03-11,52.984844,61.26289,89.220001,21.231086
